Keyword,Response,Keyword_Priority
participate,Participated in the event,2
Interview,Involved in Interview,1
Congratulate,Celebrate,4
Congratulations,Celebrate,4
Discuss,Research,4
Conversation,Knowledge sharing,5
Interviewing,Involved in Interview,1
Congrats,Celebrate,4
Joining,Celebrate,2
proud,Celebrate,7
celebrate,Celebrate,3
outstanding,Celebrate,7
Attend,Involved in event,2
Attending,Involved in event,2
Attended,Involved in event,2
Symposium,Involved in event,1
Event,Involved in event,4
Webinar,Involved in event,5
Workshop,Involved in event,6
Conference,Involved in event,1
Presentation,Involved in event,1
AI,New area,3
Chatgpt,New area,3
OpenAI,New area,3
Phase ,Extra,2
#ASCO24,Extra,1
